id, Name, Project_id, class, score
411, Жиньцова Валентина Дмитриевна, 27152, 10я, None
410, Обушев Александр Фёдорович, 10708, 2я, None
409, Светчикова Полина Игоревна, 94957, 10э, 3
408, Виноварова Екатерина Игоревна, 5466, 1о, None
407, Письменов Илья Яковлевич, 85296, 7в, 4
406, Горячих Анатолий Леонидович, 30461, 4б, 3
405, Немытых Роман Виталиевич, 47840, 1у, 3
404, Любанский Григорий Фёдорович, 52820, 4р, None
403, Войлов Борис Юриевич, 73739, 3б, 2
402, Гонеев Николай Адамович, 51389, 8в, None
401, Юманов Василий Максимович, 71255, 6п, 3
400, Алабушев Алексей Юрьевич, 28999, 1х, 3
399, Маркьянов Михаил Вадимович, 71012, 6ж, 5
398, Бандуркина Елизавета Вадимовна, 45572, 9х, 5
397, Бурхаев Александр Игоревич, 39087, 7ш, 2
396, Вытулева Анна Яковлевна, 80900, 2н, 4
395, Блиденов Константин Фёдорович, 34131, 7я, 3
394, Обоюднов Вадим Евгеньевич, 57849, 4в, 3
393, Ушаровская Юлия Николаевна, 89378, 6р, 2
392, Сливаева Галина Никитична, 68868, 8х, 4
391, Лапшина Кира Олеговна, 35423, 2э, None
390, Гусенцева Тамара Богдановна, 52624, 7у, 5
389, Шоховцова Екатерина Федоровна, 72031, 10у, 3
388, Саликаев Руслан Алексеевич, 82415, 7р, 3
387, Пальванова Лариса Михайловна, 29444, 7к, None
386, Подымелова Дарья Федоровна, 10695, 10р, 5
385, Куцыгина Полина Федоровна, 78423, 3ч, 5
384, Поручикова Наталия Аркадьевна, 21131, 4ч, 2
383, Закревский Василий Юрьевич, 76364, 2э, 5
382, Косорев Дмитрий Аркадиевич, 21021, 11б, 3
381, Закусина Вероника Никитична, 94817, 10я, 2
380, Сымова Анастасия Игоревна, 12077, 1ц, 4
379, Заречнев Константин Алексиевич, 82904, 4л, 2
378, Зузликова Алла Олеговна, 35019, 9я, 5
377, Смажевская Оксана Романовна, 59794, 10т, 4
376, Луткина Вероника Сергеевна, 72228, 8р, 5
375, Бузыканова Карина Вадимовна, 70170, 3т, 4
374, Коревин Георгий Иванович, 20176, 1м, 2
373, Каркешкина Светлана Сергеевна, 28121, 6э, 2
372, Лощакова Ева Романовна, 19938, 10н, 5
371, Пукин Алексей Николаевич, 22285, 8т, 2
370, Оковиднов Борис Аркадиевич, 26071, 1х, None
369, Рукинов Федор Иванович, 85079, 2к, 2
368, Храмчихин Эдуард Алексеевич, 40555, 7ц, 5
367, Подловилин Никита Юриевич, 5350, 2ю, 2
366, Глуглин Максим Викторович, 21471, 3ч, None
365, Травлев Альберт Валериевич, 8243, 7п, 3
364, Минчалеева Виолетта Андреевна, 6559, 4я, 3
363, Лутковский Олег Алексиевич, 55798, 7я, None
362, Сучеленков Андрей Николаевич, 4720, 8ц, 3
361, Дерюшкина Лариса Евгеньевна, 35996, 8а, 5
360, Дибров Федор Юрьевич, 20574, 4э, None
359, Романенков Андрей Николаевич, 68438, 4з, 4
358, Стрябкова Кристина Борисовна, 41617, 6н, 4
357, Ветлина Оксана Евгеньевна, 23029, 3л, 3
356, Садурдинов Федор Михаилович, 41476, 9а, 2
355, Угузнова Алёна Ивановна, 24615, 1ч, 4
354, Меденков Игорь Алексеевич, 12388, 1у, None
353, Журавский Ярослав Юрьевич, 44693, 5а, 4
352, Алемохин Леонид Юриевич, 77268, 10о, 2
351, Робышев Олег Яковлевич, 25356, 2л, 5
350, Келехсаев Кирилл Георгиевич, 10726, 2г, 4
349, Нескородев Владимир Денисович, 94464, 11х, 2
348, Маристов Анатолий Иванович, 19192, 3с, 3
347, Саплинова Раиса Николаевна, 41888, 1г, 3
346, Ралимонова Софья Николаевна, 37293, 8г, 2
345, Диречина Зинаида Никитична, 27235, 7з, 4
344, Галынкина Евгения Василевна, 31473, 4х, 3
343, Беларов Владимир Николаевич, 5321, 6м, 5
342, Мельченков Александр Борисович, 13112, 11ж, 5
341, Девечева Лиза Егоровна, 65819, 2в, 4
340, Трофилеева Дарья Ивановна, 17479, 9и, 3
339, Шубодеров Иван Николаевич, 92292, 1ю, 5
338, Троилина Елизавета Богдановна, 53494, 3ф, 4
337, Тебелев Игорь Юриевич, 77410, 1п, None
336, Вергачева Елизавета Евгеньевна, 94631, 4а, 5
335, Гузюкина Лиза Леонидовна, 77290, 5с, 4
334, Кольтяпин Денис Евгеньевич, 63271, 8д, 3
333, Засядкин Владимир Романович, 9224, 3м, None
332, Каширгов Руслан Кириллович, 84545, 6м, None
331, Николюкина Кира Егоровна, 83884, 2т, None
330, Амшарин Николай Павлович, 82031, 5т, 5
329, Строхатова Ева Вадимовна, 96237, 2ч, 3
328, Степанкова Алёна Игоревна, 62297, 6э, 3
327, Батвинкина Алла Игоревна, 75655, 6ц, 3
326, Атряшкин Степан Антонович, 32385, 2б, 2
325, Викоторова Виолетта Яковлевна, 50119, 6ц, 3
324, Аврасина Карина Валерьевна, 61736, 1ф, 5
323, Скамьин Игорь Игоревич, 65622, 6т, 5
322, Володьков Тарас Игоревич, 48219, 9у, 4
321, Тепелиева Лиза Леонидовна, 5483, 5б, 2
320, Ругалев Олег Иванович, 94184, 5т, 2
319, Опойков Денис Фёдорович, 78753, 2й, 3
318, Сатдаров Игорь Юрьевич, 27526, 4и, 2
317, Бисенбаева Людмила Романовна, 8888, 2р, None
316, Кожунов Анатолий Адамович, 89984, 6и, None
315, Пряшин Альберт Алексиевич, 35540, 11ж, 2
314, Аржевитина Евгения Петровна, 83509, 6л, 2
313, Берговина Алиса Романовна, 66350, 10р, None
312, Журахова Ирина Алексеевна, 59577, 9ж, 5
311, Вывлокина Юлия Олеговна, 73220, 6и, 2
310, Ратуев Леонид Алексиевич, 67056, 5а, 3
309, Ванягин Григорий Петрович, 40278, 5у, 4
308, Муслаков Валентин Юриевич, 93685, 6р, 4
307, Мовин Константин Антонович, 8622, 9ю, 5
306, Лягунов Аркадий Фёдорович, 71347, 2ц, 3
305, Богаткова Алина Николаевна, 23965, 5и, 4
304, Зиновьев Альберт Олегович, 5901, 5э, 5
303, Губокова Валентина Романовна, 3817, 4б, 2
302, Вукин Александр Леонидович, 48148, 5с, 5
301, Чувохина Алла Сергеевна, 75680, 1о, None
300, Бузуглов Альберт Сергеевич, 72366, 7в, 3
299, Пресняков Юрий Игоревич, 94463, 1с, 5
298, Моряшова Полина Кирилловна, 17914, 9л, None
297, Постнешов Анатолий Алексиевич, 16809, 6н, 3
296, Зумеров Валерий Петрович, 73689, 11к, 2
295, Нугманова Евгения Игоревна, 56678, 7ч, 2
294, Катырина Евгения Петровна, 35247, 5ф, 4
293, Парамошков Павел Аркадиевич, 94586, 9и, 3
292, Свинухов Максим Павлович, 9104, 7у, 4
291, Роменков Леонид Олегович, 9671, 3ф, 3
290, Калеников Вячеслав Михаилович, 61752, 8т, None
289, Арзянина Инна Василевна, 61687, 5у, 2
288, Снетова Клавдия Сергеевна, 16131, 7г, 3
287, Старокашин Яков Вадимович, 80692, 4о, None
286, Тунгусова Ева Игоревна, 89357, 11с, 3
285, Ляпишева Ольга Сергеевна, 52950, 6и, None
284, Жандецкая Карина Андреевна, 59224, 3э, 2
283, Отнюкова Анна Валерьевна, 27343, 11ж, None
282, Вишнецкая Раиса Егоровна, 44070, 11ю, 5
281, Комрин Владимир Борисович, 51212, 10ф, 5
280, Мунадеева Кристина Романовна, 71364, 2г, 4
279, Кандауров Леонид Игоревич, 18935, 3з, 3
278, Любимкина Алина Игоревна, 87789, 11в, 4
277, Кавкина Елена Федоровна, 31748, 8ф, 3
276, Цисин Аркадий Денисович, 12400, 2у, 4
275, Керакотова Елена Дмитриевна, 86597, 8д, 3
274, Машлакова Дарья Вадимовна, 36724, 11и, 4
273, Ахальцов Кирилл Борисович, 70509, 10с, 5
272, Тананова Мария Вадимовна, 4816, 10з, None
271, Долбнев Руслан Борисович, 37433, 11о, None
270, Капранов Валерий Василиевич, 55504, 1н, 5
269, Вашбеина Любовь Романовна, 21999, 8н, None
268, Абдулоев Олег Михаилович, 4226, 5п, 2
267, Гундяев Вадим Антонович, 34365, 11х, 4
266, Финошкина Марина Василевна, 83193, 4н, 4
265, Кашляев Илья Евгеньевич, 8420, 2г, 2
264, Машайская Наталия Евгеньевна, 10747, 3ф, None
263, Сапанков Анатолий Валериевич, 33800, 1о, 4
262, Жойкин Семён Антонович, 91382, 6п, 2
261, Сябитов Илья Викторович, 55187, 1о, 5
260, Казутин Денис Валериевич, 73503, 3л, 3
259, Писанова Ольга Никитична, 47414, 4т, None
258, Питушкина Алёна Ивановна, 93065, 1у, 3
257, Вывлокина Вера Федоровна, 86125, 6ц, 2
256, Зоргина Наталия Андреевна, 22103, 6х, 2
255, Чернецких Анна Никитична, 91753, 9н, 2
254, Дилеева Кристина Ивановна, 98448, 9н, 3
253, Долбоносов Георгий Тимофеевич, 67205, 3п, None
252, Тюпина Валентина Валерьевна, 26028, 10и, 5
251, Ахтиорский Денис Максимович, 18439, 3р, None
250, Маслацова Мария Василевна, 20395, 2э, 2
249, Скавинская Алла Леонидовна, 32650, 7а, 5
248, Гуцкина Маргарита Кирилловна, 63664, 10с, 2
247, Гундерин Аркадий Евгеньевич, 95173, 5з, 4
246, Разинькова Яна Олеговна, 97204, 9э, 3
245, Фурсикова Вероника Эдуардовна, 86269, 9з, 4
244, Даньшова Наталья Игоревна, 97041, 8э, 4
243, Юганкина Мария Романовна, 69000, 1а, None
242, Левшицкий Виктор Петрович, 62931, 8н, 4
241, Пясецкий Эдуард Антонович, 24616, 10р, 5
240, Окшевский Олег Сергеевич, 84187, 10ж, None
239, Задумкина Алина Андреевна, 31307, 3м, 3
238, Фалецкая Валерия Олеговна, 29371, 2у, None
237, Охоцкая Анастасия Яковлевна, 81265, 9г, 4
236, Ципахин Валерий Максимович, 27700, 1ц, 4
235, Чегринцев Владимир Виталиевич, 59795, 2э, 4
234, Зелепугин Виктор Георгиевич, 60005, 3р, 2
233, Рычажкова Елена Борисовна, 78818, 7у, 5
232, Гетина Виолетта Алексеевна, 5651, 6к, 5
231, Зубайраева Юлия Петровна, 40200, 3х, 2
230, Серский Альберт Фёдорович, 72115, 1п, 2
229, Шелковиков Федор Андреевич, 45560, 4з, 3
228, Хлебнекова Полина Яковлевна, 26358, 3г, None
227, Мочикина Раиса Василевна, 96832, 10ц, None
226, Аронзов Владислав Тимофеевич, 733, 10н, 4
225, Ильева Екатерина Дмитриевна, 90500, 6ж, 3
224, Тимаев Павел Леонидович, 23654, 3ш, None
223, Тащакова Ирина Кирилловна, 15693, 9л, 4
222, Вернигоров Кирилл Вадимович, 95760, 9а, 4
221, Сафошин Станислав Олегович, 2773, 2ц, 3
220, Облиенкова Алиса Алексеевна, 83902, 5п, 5
219, Клумова Алла Федоровна, 6370, 8ф, 3
218, Ашибокова Алина Валерьевна, 53561, 11ч, None
217, Дужников Ярослав Петрович, 51948, 11г, 4
216, Шамшиев Виталий Валериевич, 40826, 8э, 3
215, Борляев Артём Георгиевич, 82691, 4г, None
214, Скрымова Евгения Андреевна, 54344, 1м, 3
213, Анушов Тарас Денисович, 351, 1л, 2
212, Милявская Дарья Максимовна, 84942, 4б, 5
211, Крюкаева София Эдуардовна, 48924, 7б, 5
210, Яготинцева Елизавета Яковлевна, 22750, 7э, None
209, Бухшеева Евгения Вадимовна, 41078, 6ю, None
208, Адионова Марина Валерьевна, 12704, 3п, None
207, Ветерков Михаил Юрьевич, 8642, 3к, 3
206, Фассева Ирина Дмитриевна, 93529, 3х, None
205, Каликин Александр Тимофеевич, 24078, 11о, None
204, Поваров Максим Максимович, 89873, 4к, 5
203, Укладников Евгений Алексиевич, 84838, 9ш, None
202, Мартинков Альберт Романович, 18414, 7р, 3
201, Стехов Константин Максимович, 5203, 1л, 2
200, Хлиманков Николай Аркадиевич, 58103, 1д, 3
199, Сункина Полина Сергеевна, 4422, 11ч, 2
198, Карандашев Никита Денисович, 89428, 4м, 5
197, Софинина Надежда Алексеевна, 89123, 7ц, 5
196, Дубинчева Оксана Федоровна, 92261, 6ш, 5
195, Меряшкин Аркадий Иванович, 98272, 9р, 4
194, Шелов Леонид Кириллович, 22652, 11б, None
193, Бердиева Виктория Эдуардовна, 64093, 5ф, 3
192, Скубкова Инна Михайловна, 555, 6ю, 2
191, Малекина Елена Андреевна, 33754, 2у, 2
190, Хлынов Федор Алексиевич, 95494, 6т, 2
189, Аржаных Ярослав Андреевич, 53370, 4м, None
188, Мизякин Борис Олегович, 64218, 1э, None
187, Горюцкая София Валерьевна, 10340, 4й, None
186, Маинскова Кристина Валерьевна, 97154, 9у, None
185, Дудорин Георгий Леонидович, 26520, 7з, None
184, Унгаров Геннадий Тимофеевич, 20786, 2п, 3
183, Фляженков Кирилл Павлович, 28693, 9ц, None
182, Чулдина Людмила Ивановна, 10020, 1о, None
181, Торховский Павел Леонидович, 93320, 4т, 5
180, Туболцев Тарас Андреевич, 58909, 6х, 3
179, Юлисина Дарья Андреевна, 37669, 8р, None
178, Ветлужская Клавдия Олеговна, 54799, 11ф, 5
177, Якушов Игорь Олегович, 89129, 11у, 4
176, Милицин Георгий Алексеевич, 16706, 2к, None
175, Будкина Ева Евгеньевна, 2535, 2н, 3
174, Динариев Константин Олегович, 15373, 9ф, 2
173, Зырьянов Семён Данилович, 38371, 11ц, None
172, Малешкина Любовь Федоровна, 98112, 9ф, None
171, Харлахин Константин Евгеньевич, 72472, 5о, 3
170, Солодягина Лариса Василевна, 14782, 1ф, 2
169, Дипова Ирина Игоревна, 93045, 11ш, 5
168, Шестанова Ева Вадимовна, 79562, 10з, 3
167, Проннчуков Никита Леонидович, 47340, 10п, 3
166, Котрушева Лариса Алексеевна, 41189, 1б, None
165, Ясюкова Елизавета Эдуардовна, 21828, 3р, 4
164, Гибатов Руслан Адамович, 74542, 8о, 3
163, Берцова Лариса Михайловна, 16027, 8у, None
162, Леванов Валерий Михаилович, 32634, 8д, 5
161, Шокуров Виталий Аркадиевич, 20612, 6к, 4
160, Пшениснова Клара Романовна, 97080, 5х, None
159, Бабайкина Тамара Борисовна, 93016, 3ж, 2
158, Гаркунова Дарья Романовна, 19012, 11ч, 2
157, Гонозов Артур Кириллович, 13710, 2а, 5
156, Доронцева Ксения Игоревна, 86871, 5л, 4
155, Сталин Валентин Петрович, 14079, 11х, 5
154, Серин Андрей Вадимович, 58643, 11д, 4
153, Попугина Инна Василевна, 79774, 1м, 3
152, Долматова Алиса Богдановна, 1589, 5д, 5
151, Кубалова Вероника Эдуардовна, 3341, 2г, None
150, Борисяков Валерий Кириллович, 5989, 1п, 2
149, Бадашкин Аркадий Сергеевич, 70875, 5ю, 4
148, Мишнева Алина Леонидовна, 49746, 7у, 3
147, Лотягин Никита Леонидович, 25073, 11у, 4
146, Живулина Виктория Яковлевна, 93688, 5ц, None
145, Клюнтин Григорий Георгиевич, 36133, 2р, 3
144, Гнутов Павел Романович, 16939, 1д, 4
143, Гачаркин Степан Фёдорович, 5230, 8у, None
142, Питирцева Валерия Романовна, 20471, 7я, None
141, Шлипов Вадим Павлович, 22190, 2ц, 4
140, Вавилов Николай Романович, 98025, 2л, None
139, Клеянкина Карина Игоревна, 43501, 5б, 2
138, Кречина Вера Федоровна, 95476, 9л, 3
137, Акиваева Софья Максимовна, 46746, 7с, 3
136, Оргонова Лиза Ивановна, 85335, 11ю, 2
135, Гарасева Раиса Ивановна, 92300, 6с, 2
134, Жмячкина Юлия Петровна, 26050, 10б, 2
133, Лопушихин Руслан Антонович, 41658, 2ц, 3
132, Вяльченков Виктор Валериевич, 61969, 3з, 3
131, Базарнов Дмитрий Алексиевич, 71393, 4ж, 5
130, Стишкова Ева Николаевна, 72555, 8р, 3
129, Мерегина Валерия Андреевна, 59295, 11э, 4
128, Илюшников Вадим Денисович, 20374, 5в, 2
127, Курнипов Григорий Романович, 54898, 7и, 2
126, Надршина Алиса Федоровна, 1200, 7а, 3
125, Елохина Евгения Никитична, 56614, 4э, 2
124, Ратковская Галина Никитична, 16690, 8ч, 5
123, Скатькова Кристина Леонидовна, 61799, 1э, 3
122, Пидрикова Раиса Петровна, 59900, 6н, 4
121, Бусанкина Жанна Евгеньевна, 23548, 5с, None
120, Зяблина Светлана Борисовна, 86843, 8т, 3
119, Бечейкина Полина Максимовна, 7832, 9н, 4
118, Быничкина Алла Игоревна, 51830, 1х, None
117, Ожирельева Евгения Аркадьевна, 33134, 11г, 3
116, Лишкова Екатерина Олеговна, 90716, 11у, 3
115, Врадиева София Викторовна, 32661, 5ч, 3
114, Швагарев Максим Михаилович, 79919, 8н, 2
113, Красилева Юлия Валерьевна, 84397, 9с, 4
112, Крянин Никита Андреевич, 81153, 8я, 3
111, Котлячков Семён Иванович, 88828, 8э, 4
110, Абдулов Вадим Василиевич, 65363, 10з, 2
109, Матеркова Екатерина Леонидовна, 89499, 8ч, 3
108, Бакутенков Яков Николаевич, 19251, 3р, None
107, Беляхин Денис Аркадиевич, 31863, 1и, 3
106, Синадкина Елизавета Андреевна, 51110, 4э, 3
105, Цициева Виктория Василевна, 31613, 5у, None
104, Ивершина Елизавета Богдановна, 40038, 11я, 4
103, Топольская Полина Евгеньевна, 28280, 1л, 3
102, Турашпина Ольга Валерьевна, 70867, 2и, 3
101, Айдаболова Тамара Борисовна, 92482, 11ж, 3
100, Левгов Дмитрий Вадимович, 42389, 7и, 3
99, Свечева Зинаида Романовна, 177, 1т, None
98, Фочкина Валентина Викторовна, 59573, 4р, 4
97, Карунина Карина Петровна, 87651, 4м, 2
96, Федяинов Вячеслав Андреевич, 98576, 10а, 5
95, Рукинова Кристина Яковлевна, 97571, 10д, 3
94, Карпелина Оксана Дмитриевна, 65842, 10з, None
93, Люшакова Ирина Николаевна, 25476, 9й, 3
92, Лужных Вероника Федоровна, 41430, 9и, None
91, Водникова Наталья Борисовна, 62948, 5х, None
90, Гаморкина Клавдия Вадимовна, 14436, 5х, 2
89, Айгин Альберт Евгеньевич, 44164, 1л, 2
88, Свяховский Никита Игоревич, 21080, 10н, 2
87, Челебаева Полина Сергеевна, 94407, 11э, 4
86, Салаутин Александр Сергеевич, 1486, 8к, None
85, Чиляева Евгения Богдановна, 48476, 7з, 4
84, Добрецов Иван Валериевич, 56384, 10п, 3
83, Огаркова Жанна Эдуардовна, 24367, 11о, 3
82, Падучев Тарас Юрьевич, 21083, 7ч, 2
81, Воронцева Марина Ивановна, 97280, 1ж, None
80, Мошарев Антон Евгеньевич, 85638, 6й, 5
79, Путакова Кира Василевна, 67458, 1л, None
78, Исмиева Дарья Никитична, 99219, 5ж, None
77, Мясялимов Вадим Михаилович, 69539, 1о, 2
76, Путина Валерия Кирилловна, 81471, 9ю, 4
75, Коровочкин Александр Фёдорович, 93059, 5а, None
74, Шумарин Владимир Алексеевич, 59447, 2ч, 3
73, Пятовская Инна Никитична, 62494, 7у, None
72, Каркачев Никита Адамович, 13200, 2о, None
71, Расуханов Роман Викторович, 99457, 9л, 3
70, Шейников Семён Борисович, 84163, 3й, 5
69, Скорбачев Иван Василиевич, 75319, 8т, 3
68, Тхазеплов Кирилл Фёдорович, 73174, 8с, None
67, Везломцева Анастасия Николаевна, 23309, 9н, 4
66, Софьина Лариса Романовна, 25309, 9э, 4
65, Креснова Светлана Леонидовна, 71520, 4ч, 5
64, Носовицкая Ирина Евгеньевна, 92076, 11ц, None
63, Сьефанцева Клара Евгеньевна, 89627, 8г, None
62, Духарева Кира Эдуардовна, 56930, 2б, 4
61, Эйдумова Ирина Борисовна, 22840, 10р, 5
60, Харкин Валентин Яковлевич, 98488, 1э, None
59, Лялихин Артём Сергеевич, 16582, 4я, 3
58, Мрякин Илья Сергеевич, 13283, 11л, 5
57, Насупкин Роман Кириллович, 89492, 7ж, 3
56, Несакова София Эдуардовна, 43622, 9м, 3
55, Курушнина Анна Кирилловна, 69823, 5а, None
54, Чижеликов Аркадий Олегович, 55878, 5в, 4
53, Пичина Марина Дмитриевна, 22749, 9ю, 3
52, Алюшева Вероника Вадимовна, 2683, 11г, 2
51, Гупалов Антон Алексеевич, 2713, 7п, 2
50, Драненкова Вера Дмитриевна, 7095, 11г, None
49, Сурыгина Алиса Яковлевна, 15964, 2й, 3
48, Милионтов Эдуард Евгеньевич, 69994, 10т, 5
47, Шеварина София Яковлевна, 45743, 7с, 5
46, Горотанова Любовь Николаевна, 714, 7а, 5
45, Юдапов Илья Иванович, 98388, 6я, 2
44, Флиднева Инна Игоревна, 91978, 8ж, 4
43, Лидскина Зинаида Кирилловна, 50057, 10р, 3
42, Пудин Денис Кириллович, 70483, 11р, 5
41, Колюшев Пётр Романович, 93528, 7у, None
40, Баловинова Светлана Егоровна, 73754, 10ф, 5
39, Нечадов Денис Антонович, 65402, 8о, 2
38, Прядухин Георгий Иванович, 58121, 11п, 2
37, Войдилов Федор Андреевич, 18141, 5и, 4
36, Ватильев Юрий Павлович, 74388, 2г, 5
35, Шутихин Валентин Игоревич, 61502, 5ф, None
34, Демонов Борис Юрьевич, 26500, 3г, 3
33, Подкапаев Альберт Юрьевич, 24410, 4ц, 5
32, Чупарина Маргарита Андреевна, 5379, 3ю, None
31, Вассанова Катерина Андреевна, 24354, 9ч, 4
30, Бакова Елизавета Андреевна, 98864, 5п, 5
29, Разувякина Мария Вадимовна, 58600, 2ф, 2
28, Соловцов Василий Андреевич, 78626, 3й, 5
27, Пугашова Жанна Максимовна, 69913, 3и, 4
26, Селенкова Лиза Евгеньевна, 1083, 6р, None
25, Прокуратов Константин Петрович, 55749, 6ч, 2
24, Валлиулин Никита Георгиевич, 10467, 3о, 4
23, Карнюхин Вадим Валериевич, 27311, 11у, 4
22, Рохимова Елена Борисовна, 49334, 10я, 2
21, Свирисов Тарас Тимофеевич, 47697, 1я, None
20, Ханавский Иван Яковлевич, 63524, 9я, None
19, Горбунков Василий Олегович, 85931, 1г, 3
18, Дуанова Дарья Николаевна, 20182, 4б, 5
17, Камандаков Степан Юриевич, 7162, 3з, 4
16, Курчатова Вера Викторовна, 80897, 3д, None
15, Пониматкин Михаил Василиевич, 39095, 11л, 5
14, Ельганинов Дмитрий Евгеньевич, 67729, 7а, 2
13, Космачев Денис Борисович, 43563, 9и, 2
12, Добровин Иван Иванович, 62736, 5я, 2
11, Асенина Людмила Петровна, 99826, 3э, 2
10, Кугинская Анна Аркадьевна, 41505, 4т, 3
9, Савражский Леонид Максимович, 61766, 7н, 5
8, Шулегина Зинаида Дмитриевна, 52020, 2и, 2
7, Скитин Яков Адамович, 86307, 7б, 4
6, Табеев Александр Павлович, 81720, 7ц, 3
5, Донсков Герасим Тимофеевич, 87395, 7з, 4
4, Кувчинская Елизавета Кирилловна, 2498, 3и, 5
3, Болочева Алиса Олеговна, 52638, 8ч, 5
2, Инбаев Руслан Тимофеевич, 24916, 9в, 3
